ACCE_ABSORB	Bónusz abszorpció
GAMEOPTION_TITLE_EXTRA	Extra Option
HIDE_COSTUMES	Jelmez elrejtése
GAMEOPTION_HAIR	Hajstílus
SWITCHBOT_TITLE	Cserélő bot
SWITCHBOT_ALREADY_ATTACHED	Ez a tárgy már hozzá lett adva a cserélő bothoz.
RENDER_OPT	Optimálás
RENDER_OPT_LOW	Alacsony
RENDER_OPT_MEDIUM	Közepes
RENDER_OPT_HIGH	Magas
SWITCHBOT_SLOT_NAME	Hely %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Nem tudsz több tárgyat hozzáadni.
SWITCHBOT_BUTTON_START	Indít
SWITCHBOT_BUTTON_RESET	Visszaállít
SWITCHBOT_TEMPLATE_TITLE	Sablonok
SWITCHBOT_SPEED_SLOW	Lassú
SWITCHBOT_SPEED_MEDIUM	Közepes
SWITCHBOT_SPEED_NORMAL	Normál
SWITCHBOT_SPEED_PREMIUM	Prémium
SHINING_WINDOW_TITLE	Fénylő
SWITCHBOT_BUTTON_STOP	Állj
SWITCHBOT_BUTTON_DELETE	Delete
SWITCHBOT_PREMIUM_INACTIVE	Prémium inaktív
SWITCHBOT_SELECT_DEFAULT	-- válassz --
SWITCHBOT_SELECT_UNKNOWN	!ismeretlen!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Indít
SWITCHBOT_TIME_PASSED	Teljes ídőtartam
SWITCHBOT_SWITCHERS_USED	Elhasznált forgatók
SWITCHBOT_CURRENT_SPEED	Speed
RUNE_MAIN_TITLE	Rúnák
RUNE_MAIN_GROUP_TITLE1	Pontosság
RUNE_MAIN_GROUP_TITLE_DESC1	Válj legendává
RUNE_MAIN_GROUP_DESC1	Erősítsd meg a sima támadásaidat
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Válj legendává
RUNE_MAIN_GROUP_DESC2	Erősítsd meg a támadásaidat szörnyek ellen
RUNE_MAIN_GROUP_TITLE3	Mágikus
RUNE_MAIN_GROUP_TITLE_DESC3	Válj legendává
RUNE_MAIN_GROUP_DESC3	Erősítsd meg a képességeidet
RUNE_MAIN_GROUP_TITLE4	Elszántság
RUNE_MAIN_GROUP_TITLE_DESC4	Válj legendává
RUNE_MAIN_GROUP_DESC4	Erősítsd meg a védelmed
RUNE_MAIN_GROUP_TITLE5	Inspiráció
RUNE_MAIN_GROUP_TITLE_DESC5	Válj legendává
RUNE_MAIN_GROUP_DESC5	Erősítsd a barátaidat
RUNE_SUB_MAIN_SELECT1	Válassz ki egy Kulcsrúnát
RUNE_SUB_MAIN_SELECT2	Rúna kiválasztása
RUNE_SUB_SUB_SELECT_GROUP	Másodlagos ösvény
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Kiegészítő rúna
RUNE_SUB_SUB_SELECT_RUNE	Másodlagos ösvény
RUNE_SUB_SUBTITLE_TEXT	Kulcsrúna
RUNE_TOOLTIP_SAVE	Mentés
RUNE_WINDOW_TUTORIAL	Rúna rendszer tutorial
GAMEOPTION_ACCE	Vállpánt
MINI_GAME_FISH_START_TEXT	Indít
MINI_GAME_FISH_TITLE	Halkirakós
BANNER_FISH_BUTTON	Írj egy GM-nek!
MINIGAME_FISH_EVENT_USE_COUNT	Trys
MINI_GAME_FISH_HELP_TEXT	Segítség
SKINSYSTEM_TITLE	Kinézet rendszer
SHOP_SEARCH_SORT_DATE_ASC	Eladás ideje
XMAS_EVENT_TITLE	Karácsonyi kalendár
OFFLINE_SHOP_SALES_HISTORY	Eladási előzmények
OFFLINE_SHOP_WITHDRAW_GOLD	Yang kivétele
OFFLINE_SHOP_HISTORY_COLUMN1	Tárg
OFFLINE_SHOP_HISTORY_COLUMN2	Ár
OFFLINE_SHOP_HISTORY_COLUMN3	Vásárló
OFFLINE_SHOP_HISTORY_COLUMN4	Dátum
OFFLINE_SHOP_AVERAGE_PRICE	Átlagos ár
OFFLINE_SHOP_SELL_DIALOG_QUESTION	For how much yang[ENTER] do you want to sell your item?
OFFLINE_SHOP_YOU_GET	Kaptál:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Eladás átlagos áron
OFFLINE_SHOP_CHANGE_APPEARANCE	Kinézet változtatása
OFFLINE_SHOP_TIME_REMAINING	Hártalévő idő:
SHOP_SEARCH_CAT_ORES	Ércek
SYSTEM_PICK_OPTION	Felvételi beállítások
PICKUP_CATEGORY_POTION	Italok
PICKUP_CATEGORY_BOOK	Könyvek
PICKUP_CATEGORY_SIZE_TITLE	Cella méretek
PICKUP_CATEGORY_SIZE_1	1 hely
PICKUP_CATEGORY_SIZE_2	2 hely
PICKUP_CATEGORY_SIZE_3	3 hely
OPTION_HIDE_NPC_TITLE	Elrejt
OPTION_HIDE_NPC_CAT1	Buffik
OPTION_HIDE_NPC_CAT2	Hátasok
OPTION_HIDE_NPC_CAT3	Kiskedvencek
ZODIAC_CALENDAR	Zodiákus naptár
SAVE_WINDOW_POS	Ablak helyzetének mentése
NEW_EMOTES	New Emontion
FONT	Betűtípus
FONT_DEFAULT	Normál
BDAY_EVENT_DESC_D2	Complete most Dungeons
BDAY_EVENT_DESC_D3	Pusztítsd el a legtöbb Metinkövet
BDAY_EVENT_DESC_D4	Consume most Enchant Item
BDAY_EVENT_DESC_D5	Öld meg a legtöbb szörnyet
BDAY_EVENT_DESC_D6	Teljesítsd a legtöbb küldetéskönyvet
BDAY_EVENT_DESC_D7	Ölj játékosokat a másik frakcióból
BDAY_EVENT_REWARD_D1	10% Bossok elleni erő
BDAY_EVENT_REWARD_D2	25%-al kevesebb várakozási idő kazamatákra
BDAY_EVENT_REWARD_D3	10% Metinkövek elleni erő
BDAY_EVENT_REWARD_D4	50%-al kevesebb várakozási idő a Biológus küldetéseire
BDAY_EVENT_REWARD_D5	10% Szörnyek elleni erő
BDAY_EVENT_REWARD_D6	10% increased upprates
BDAY_EVENT_REWARD_D7	5% esély a dupla mennyiségű tárgy eldobására
OPTION_ONLY_ITEM_TEXTTAIL	Zsákmányok
BATTLE_FIELD_MONDAY	HÉTFŐ
BATTLE_FIELD_TUESDAY	KEDD
BATTLE_FIELD_WEDNESDAY	SZERDA
BATTLE_FIELD_THURSDAY	CSÜTÖRTÖK
BATTLE_FIELD_FRIDAY	PÉNTEK
BATTLE_FIELD_SATURDAY	SZOMBAT
BATTLE_FIELD_SUNDAY	VASÁRNAP
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r  - |cFFff1a00|h%02i:%02i|h|r 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Ital kérvényezése
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Harciövezet
BATTLE_FIELD_OPERATION_ONLINE	A belépés nyitva van.
BATTLE_FIELD_OPERATION_OFFLINE	A belépés zárva van.
BATTLE_FILED_RANK	Rang
BATTLE_FILED_RANK_EMPIRE	Birodalom
BATTLE_FILED_RANK_NAME	Név
BATTLE_FILED_RANK_POINT	Pontok
ENTER_BATTLE_FIELD	Enter
EXIT_BATTLE_FIELD	Biztos el szeretnéd hagyni a Harciövezetet?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Jelenlegi pontok: %d
TOTAL_RANKING	Általános rangsor
WEEKLY_RANKING	Heti rangsor
RESTART_IMMEDIATE	Reinkarnáció
REQUIRED_AMOUNT	Szükséges mennyiség
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Nap
SWITCHBOT_DROP	Húzd ide a tárgyadat
OPTION_SNOW	Hó
OPTION_SAVE_WHISPERS	PM mentése
OPTION_WHISPER_TIMESTAMP	PM időpontok
CUBE_MAKE_ALL	Összes barkácsolása
AFFECT_GAME_OPTION	Affect icons
AUCTION_STRICT_SEARCH	Pontos keresés
SKILL_COLOR	Képesség szín
SAVE	Mentés
STANDARD	Szabvány
SKILL_COLOR_CURRENT	Jelenlegi szín:
BLACKJACK_HIT	Találat
BLACKJACK_STAY	Marad
BLACKJACK_DEALER	Kereskedő
BLACKJACK_YOU	Te
BLACKJACK_BET	Fogadás
BLACKJACK_START_GAME	Játék indítása
OPTION_MESSENGER_NOTIFICATION	Üzenet értesítés
SHOP_SELL_NOTIFICATION	%sx %s el lett adva %s Yangért.
SHOP_SELL_NOTIFICATION_TITLE	Eladási értesítés
EQUIPMENT_PAGE_TITLE	Equipment Changer
SAFEBOX_INVENTORY_NORMAL	Normál raktár
OPTION_SELL_NOTIFICATION	Eladási értesítés
OPTION_HIDE_NPC_CAT4	Boltok
HOTKEY_TITLE_TEXT	Gyorsbillentyű beállítása
SAFEBOX_INVENTORY_ITEMSHOP	Itemshop raktár
SAFEBOX_INVENTORY_UPP	Fejlesztő tárgyak raktára
SAFEBOX_INVENTORY_SKILL	Books safebox
SAFEBOX_INVENTORY_STONE	Szellemkő raktár
SAFEBOX_INVENTORY_ENCHANT	Enchant bonuses safebox
SAFEBOX_INVENTORY_COSTUME	Costumes safebox
SAFEBOX_INVENTORY_GUILD	Céh raktár
HALLOWEEN_GAME_WIN_TITLE	Halloween jutalom (Itemshop raktár!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
