ACCE_ABSORB	Bonus absorpce
OPTION_SHOP_TITLE	Název obchodu
REFINE_FAST_CHECK	Nezavírejte okno
GUILD_MEMBER_MELEY	Start Meleyino doupě
COMB_TITLE	Převod bonusů (kostým)
COMB_APPEARANCE	Kostým 1
COMB_ATTRIBUTE	Kostým 2
GAMEOPTION_TITLE_EXTRA	Extra možnost
HIDE_COSTUMES	Skrýt kostým
GAMEOPTION_HAIR	Účes
SWITCHBOT_TITLE	Měnič bonusů
SWITCHBOT_ALREADY_ATTACHED	Tento item již byl přidána do měniče bonusů.
RENDER_OPT	Optimalizace
RENDER_OPT_LOW	Low
RENDER_OPT_MEDIUM	Střední
RENDER_OPT_HIGH	Vysoký
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	Nelze přidat další item.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Restartovat
SWITCHBOT_TEMPLATE_TITLE	Šablony
SWITCHBOT_SPEED_SLOW	Pomalu
SWITCHBOT_SPEED_MEDIUM	Střední
SWITCHBOT_SPEED_NORMAL	Normální
SWITCHBOT_SPEED_PREMIUM	Prémium
SHINING_WINDOW_TITLE	Zářicí
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Odstranit
SWITCHBOT_PREMIUM_INACTIVE	Premium neni aktivní
SWITCHBOT_SELECT_DEFAULT	-- vybrat --
SWITCHBOT_SELECT_UNKNOWN	!neznámý!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Start
SWITCHBOT_TIME_PASSED	Celková doba trvání
SWITCHBOT_SWITCHERS_USED	Spent Changers
SWITCHBOT_CURRENT_SPEED	Rychlost
RUNE_MAIN_TITLE	Runy
RUNE_MAIN_GROUP_TITLE1	Přesnost
RUNE_MAIN_GROUP_TITLE_DESC1	Stát se legendou
RUNE_MAIN_GROUP_DESC1	Posilte své normální útoky
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Stát se legendou
RUNE_MAIN_GROUP_DESC2	Posilněte své útoky proti příšerám
RUNE_MAIN_GROUP_TITLE3	Magie
RUNE_MAIN_GROUP_TITLE_DESC3	Stát se legendou
RUNE_MAIN_GROUP_DESC3	Posílte své kouzla
RUNE_MAIN_GROUP_TITLE4	Odhodlání
RUNE_MAIN_GROUP_TITLE_DESC4	Stát se legendou
RUNE_MAIN_GROUP_DESC4	Posilněte svoji obranu
RUNE_MAIN_GROUP_TITLE5	Inspirace
RUNE_MAIN_GROUP_TITLE_DESC5	Stát se legendou
RUNE_MAIN_GROUP_DESC5	Posilněte své přátele
RUNE_SUB_MAIN_SELECT1	Vyberte klíč
RUNE_SUB_MAIN_SELECT2	Zvolit runu
RUNE_SUB_SUB_SELECT_GROUP	Secondary path
RUNE_SUB_SUB_SELECT_RUNE_NOGROUP	Další runa
RUNE_SUB_SUB_SELECT_RUNE	Secondary path
RUNE_SUB_SUBTITLE_TEXT	Klíčová runa
RUNE_TOOLTIP_SAVE	Uložit
RUNE_WINDOW_TUTORIAL	Návod na systém run
GAMEOPTION_ACCE	Šerpa
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Rybí puzzle
BANNER_FISH_BUTTON	Napiště členovy GM teamu!
MINIGAME_FISH_EVENT_USE_COUNT	Zkouší
MINI_GAME_FISH_HELP_TEXT	Pomoc
SKINSYSTEM_TITLE	Skin system
SHOP_SEARCH_SORT_DATE_ASC	Prodejní čas
XMAS_EVENT_TITLE	Vánoční kalendář
OFFLINE_SHOP_SALES_HISTORY	Historie prodeje
OFFLINE_SHOP_WITHDRAW_GOLD	Vybrat Yang
OFFLINE_SHOP_HISTORY_COLUMN1	Item
OFFLINE_SHOP_HISTORY_COLUMN2	Cena
OFFLINE_SHOP_HISTORY_COLUMN3	Kupce
OFFLINE_SHOP_HISTORY_COLUMN4	Dátum
OFFLINE_SHOP_AVERAGE_PRICE	Průměrná cena
OFFLINE_SHOP_SELL_DIALOG_QUESTION	Za kolik Yang[ENTER] chcete prodat svůj item?
OFFLINE_SHOP_YOU_GET	Dostaneš:
OFFLINE_SHOP_SELL_AVERAGE_PRICE	Prodat za průměrnou cenu
OFFLINE_SHOP_CHANGE_APPEARANCE	Změna vzhledu
OFFLINE_SHOP_TIME_REMAINING	Zbývající čas:
SHOP_SEARCH_CAT_ORES	Rudy
SYSTEM_PICK_OPTION	Možnosti dropu
PICKUP_CATEGORY_POTION	Lektvary
PICKUP_CATEGORY_BOOK	Knihy
PICKUP_CATEGORY_SIZE_TITLE	Velikost slotů
PICKUP_CATEGORY_SIZE_1	1 slot
PICKUP_CATEGORY_SIZE_2	Změnit kanál
PICKUP_CATEGORY_SIZE_3	3 slot
OPTION_HIDE_NPC_TITLE	Skrýt
OPTION_HIDE_NPC_CAT1	Buffis
OPTION_HIDE_NPC_CAT2	Jezdecké zvířatá
OPTION_HIDE_NPC_CAT3	Mazlíčci
ZODIAC_CALENDAR	Kalendář zvěrokruhu
SAVE_WINDOW_POS	Uložit pozici okna
NEW_EMOTES	Nová emoce
FONT	Písmo
FONT_DEFAULT	Normální
BDAY_EVENT_DESC_D2	Dokončete většinu Duengonů
BDAY_EVENT_DESC_D3	Zničte většinu metinstonů
BDAY_EVENT_DESC_D4	Spotřebujte Zač. předmět
BDAY_EVENT_DESC_D5	Zabijte většinu příšer
BDAY_EVENT_DESC_D6	Dokončete knihy misí.
BDAY_EVENT_DESC_D7	Zabijte hráče z druhé říše
BDAY_EVENT_REWARD_D1	10% Silný proti Bosům
BDAY_EVENT_REWARD_D2	O 25% nižší cooldown na Dungeony
BDAY_EVENT_REWARD_D3	10% silný proti Metinům
BDAY_EVENT_REWARD_D4	50% nižší cooldown na misích u Biológa
BDAY_EVENT_REWARD_D5	10% Silný proti příšerám
BDAY_EVENT_REWARD_D6	10% zvýšení úspěchu
BDAY_EVENT_REWARD_D7	5% šance na dvojnásobní drop itemů
OPTION_ONLY_ITEM_TEXTTAIL	Dropy
BATTLE_FIELD_MONDAY	PONDELÍ
BATTLE_FIELD_TUESDAY	ÚTERÝ
BATTLE_FIELD_WEDNESDAY	STŘEDA
BATTLE_FIELD_THURSDAY	ČTVRTEK
BATTLE_FIELD_FRIDAY	PÁTEK
BATTLE_FIELD_SATURDAY	SOBOTA
BATTLE_FIELD_SUNDAY	NEDĚLE
BATTLE_FIELD_EACH_DAY	%s: |cFF14ff48|h%02i:%02i|h|r - |cFFff1a00|h%02i:%02i|h|r
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Elixír je potřebný
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Bojová zóna
BATTLE_FIELD_OPERATION_ONLINE	Vstup je otevřen
BATTLE_FIELD_OPERATION_OFFLINE	Vstup je uzavřen.
BATTLE_FILED_RANK	Hodnost
BATTLE_FILED_RANK_EMPIRE	Říše
BATTLE_FILED_RANK_NAME	Jméno
BATTLE_FILED_RANK_POINT	Body
ENTER_BATTLE_FIELD	Vstoupit
EXIT_BATTLE_FIELD	Vážně chceš opustiť Bojovú zónu?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Aktuální body:%d
TOTAL_RANKING	Celkové pořadí
WEEKLY_RANKING	Týdenní hodnocení
RESTART_IMMEDIATE	Reinkarnace
REQUIRED_AMOUNT	Požadovaná částka
DUNGEON_RANKING_WINDOW	Dungeon Rangliste
DAY	Den
SWITCHBOT_DROP	Přetáhněte přemět sem
OPTION_SNOW	Sníh
OPTION_SAVE_WHISPERS	Uložit šeptání
OPTION_WHISPER_TIMESTAMP	Čas soukromé zprávy
CUBE_MAKE_ALL	Vykraftiť vše
AFFECT_GAME_OPTION	Ovlivňují ikony
AUCTION_STRICT_SEARCH	Přesné vyhledávání
SKILL_COLOR	Barva kouzel
SAVE	Uložit
STANDARD	Standard
SKILL_COLOR_CURRENT	Aktuální barva:
BLACKJACK_HIT	Zásah
BLACKJACK_STAY	Stát
BLACKJACK_DEALER	Obchodník
BLACKJACK_YOU	Ty
BLACKJACK_BET	Vsadit
BLACKJACK_START_GAME	Spustiť hru
OPTION_MESSENGER_NOTIFICATION	Messenger notif.
SHOP_SELL_NOTIFICATION	%sx%s bylo prodáno za %s Yangů.
SHOP_SELL_NOTIFICATION_TITLE	Oznámení o prodeji
EQUIPMENT_PAGE_TITLE	Měnič výbavy
SAFEBOX_INVENTORY_NORMAL	Hlavní sklad
OPTION_SELL_NOTIFICATION	Oz. o prodeji.
OPTION_HIDE_NPC_CAT4	Stránky
HOTKEY_TITLE_TEXT	Zvolit tlačítko (skratku)
SAFEBOX_INVENTORY_ITEMSHOP	Item-Shop sklad
SAFEBOX_INVENTORY_UPP	Vylepšiť uložiště itemů
SAFEBOX_INVENTORY_SKILL	Sklad pro knihy
SAFEBOX_INVENTORY_STONE	Uložiště kamenů duchů
SAFEBOX_INVENTORY_ENCHANT	Sklad pro zač. předměty
SAFEBOX_INVENTORY_COSTUME	Sklad pro kostými
SAFEBOX_INVENTORY_GUILD	Cechovni sklad
HALLOWEEN_GAME_WIN_TITLE	Halloween reward (Itemshop Storage!)
HALLOWEEN_GAME_WIN_TEXT	You get [ENTER]%s[ENTER]in you'r Itemshop Storage!
